doi,server,version,category,publiStatus,date,author_corresponding_institution,titleLength,abstractLength,numberAuthors,cit1year
10.1101/446625,biorxiv,1,neuroscience,year1,2018-10-17,UCLA,65,1183,13,17.0
10.1101/2020.03.10.20033803,medrxiv,1,infectious diseases,year1,2020-03-13,Peking university,73,1052,6,9.0
10.1101/2021.06.12.448184,biorxiv,1,genomics,year1,2021-06-13,George Washington University,65,1932,7,2.0
10.1101/2022.10.20.22281298,medrxiv,1,health systems and quality improvement,NP,2022-10-21,Women\'s College Hospital,108,4353,7,
10.1101/2021.08.23.457435,biorxiv,1,biophysics,year1,2021-08-24,Universidad Autónoma del Estado de Morelos,79,1880,2,0.0
10.1101/2021.03.24.436731,biorxiv,1,bioinformatics,year1,2021-03-25,Hirosaki University,79,1366,6,2.0
10.1101/2022.01.12.474993,biorxiv,1,biochemistry,NP,2022-01-13,University of Minnesota at Twin Cities,122,1467,5,
10.1101/538561,biorxiv,1,microbiology,year1,2019-02-01,ESPCI Paris-Tech and MPI for Evolutionary Biology,108,1651,2,1.0
10.1101/2020.07.20.211581,biorxiv,1,evolutionary biology,year1,2020-07-21,University of Fribourg,64,1828,4,2.0
10.1101/2022.03.23.485523,biorxiv,1,neuroscience,year2,2022-03-27,UR Anoop Research Group,131,3006,10,0.0
10.1101/2022.08.15.503979,biorxiv,1,neuroscience,year1,2022-08-15,"University of Massachusetts, Amherst",115,2114,3,1.0
10.1101/2022.10.16.512399,biorxiv,1,bioengineering,year1,2022-10-19,University of North Carolina at Chapel Hill,90,1397,11,1.0
10.1101/2020.01.02.892844,biorxiv,1,ecology,year1,2020-01-02,CNRS,101,1627,12,9.0
10.1101/19004523,medrxiv,1,public and global health,year1,2019-09-16,University of St Andrews,117,2842,3,0.0
10.1101/2021.12.23.473143,biorxiv,1,bioinformatics,year1,2021-12-23,Brno University of Technology,81,995,6,0.0
10.1101/2022.11.04.515260,biorxiv,1,animal behavior and cognition,NP,2022-11-05,"Animal Behaviour and Cognition Programme, National Institute of Advanced Studies, Bangalore, India",66,1359,3,
10.1101/2022.06.11.495720,biorxiv,1,biochemistry,NP,2022-06-11,the second hospital of Anhui medical university,96,1703,6,
10.1101/2021.06.24.21259283,medrxiv,1,nutrition,year1,2021-06-25,Massachusetts General Hospital,74,1752,30,40.0
10.1101/2022.11.11.515795,biorxiv,1,immunology,year1,2022-11-13,Lund University,84,1662,10,0.0
10.1101/2021.01.09.21249189,medrxiv,1,ophthalmology,NP,2021-01-11,"Centre for Eye Research, University of Melbourne, East Melbourne, Victoria, Australia",53,1673,13,
10.1101/2021.10.13.464283,biorxiv,1,biochemistry,year1,2021-10-13,University of Manitoba,115,1061,2,1.0
10.1101/2020.10.30.359448,biorxiv,1,genomics,year1,2020-10-30,"Department of Neurosciences and Developmental Biology, Faculty of Life Sciences, University of Vienna, Althanstrasse 14, 1090 Vienna, Austria",70,1709,15,0.0
10.1101/2020.05.14.095414,biorxiv,1,immunology,year1,2020-05-15,"Francis Crick Institute; Department of Medicine, Imperial College London",65,1835,32,361.0
10.1101/457101,biorxiv,1,bioinformatics,year1,2018-10-31,"McGill, Human Genetics",68,1828,6,0.0
10.1101/2020.04.25.061069,biorxiv,1,bioinformatics,year1,2020-04-25,Ecole normale superieure,94,661,6,3.0
10.1101/466508,biorxiv,1,immunology,NP,2018-11-09,Cedars-Sinai Medical Center,112,1094,17,
10.1101/2020.09.02.279737,biorxiv,1,microbiology,NP,2020-09-02,Indian Institute of Technology Kharagpur,120,1330,12,
10.1101/2020.07.31.231712,biorxiv,1,neuroscience,year1,2020-08-04,University of Buenos Aires,120,2348,7,3.0
10.1101/2021.09.11.459911,biorxiv,1,developmental biology,year2,2021-09-12,"Excellence Cluster, Physics of Life, TU-Dresden",84,1041,6,1.0
10.1101/2021.10.04.463104,biorxiv,1,plant biology,year2,2021-10-05,The Sainsbury Laboratory,101,2614,7,4.0
10.1101/2021.02.02.429345,biorxiv,1,ecology,year2,2021-02-03,University of St Andrews,116,1239,5,1.0
10.1101/2021.04.27.441606,biorxiv,1,microbiology,NP,2021-04-27,"University Hospital Frankfurt, Goethe University Frankfurt",157,2013,14,
10.1101/2021.05.03.21256353,medrxiv,1,nutrition,year1,2021-05-05,University of Missouri - Columbia,117,1906,4,0.0
10.1101/2020.09.14.20194472,medrxiv,1,infectious diseases,year1,2020-09-15,Stanford University,100,1285,13,76.0
10.1101/321117,biorxiv,1,developmental biology,year1,2018-05-14,King's College London,87,1070,4,2.0
10.1101/2022.08.28.22279291,medrxiv,1,pharmacology and therapeutics,year2,2022-08-30,"Division of Pharmacoepidemiology and Clinical Pharmacology, Utrecht University",148,2808,8,0.0
10.1101/2020.04.13.040154,biorxiv,1,animal behavior and cognition,year1,2020-04-17,"National Institute of Advanced Studies (NIAS), Bangalore, India",120,1321,4,1.0
10.1101/2022.12.20.521339,biorxiv,1,microbiology,year1,2022-12-21,Woods Hole Oceanographic Institution,82,2570,9,0.0
10.1101/2022.10.14.512116,biorxiv,1,bioinformatics,NP,2022-10-18,Immanuel Kant Baltic Federal University,156,1126,15,
10.1101/2022.01.07.475424,biorxiv,1,bioengineering,NP,2022-01-10,"DOTA, ONERA, Paris Saclay University, F-91123 Palaiseau, France",96,843,3,
10.1101/2020.11.22.390922,biorxiv,1,cancer biology,year1,2020-11-23,European Institute of Oncology (IEO) IRCCS,89,1853,14,3.0
10.1101/697581,biorxiv,1,genetics,NP,2019-07-11,Vanderbilt University Medical Center,97,1138,10,
10.1101/2021.10.01.462765,biorxiv,1,physiology,NP,2021-10-02,University College London,102,1967,4,
10.1101/2022.09.28.509872,biorxiv,1,evolutionary biology,NP,2022-09-28,University of North Carolina Charlotte,98,1340,5,
10.1101/2022.08.01.502088,biorxiv,1,biochemistry,NP,2022-08-01,"Department of Chemistry and Sarafan ChEM-H, Stanford University and Howard Hughes Medical Institute, Stanford, CA",75,1458,6,
10.1101/2021.06.03.21258324,medrxiv,1,hiv aids,year1,2021-06-06,University of South Carolina,165,269,6,7.0
10.1101/2020.01.16.909465,biorxiv,1,neuroscience,NP,2020-01-17,"Janelia Research Campus, HHMI",44,1611,7,
10.1101/2022.12.21.521328,biorxiv,1,evolutionary biology,year1,2022-12-22,"University of California, Berkeley",71,483,6,0.0
10.1101/320283,biorxiv,1,neuroscience,year1,2018-05-11,Umeå University,97,1216,11,3.0
10.1101/2020.09.02.280263,biorxiv,1,genetics,year1,2020-09-03,University of Minnesota,109,3776,2,3.0
10.1101/2022.01.27.21268082,medrxiv,1,pain medicine,year1,2022-01-28,"TU Dresden, University Hospital",108,1963,10,3.0
10.1101/2022.04.18.22273944,medrxiv,1,infectious diseases,NP,2022-04-18,"key Laboratory of Medical Molecular Virology (MOE/NHC/CAMS), School of Basic Medical Sciences, Shanghai Medical College, Fudan University, Shanghai, China",135,3843,22,
10.1101/575480,biorxiv,1,genetics,year1,2019-03-13,Tel-Aviv University,103,1383,4,3.0
10.1101/2021.01.24.21250416,medrxiv,1,epidemiology,year1,2021-01-25,York University,114,1315,3,16.0
10.1101/2022.04.08.22273608,medrxiv,1,rehabilitation medicine and physical therapy,NP,2022-04-10,Evangelical University of Goiás - UniEVANGÉLICA,103,2147,28,
10.1101/653238,biorxiv,1,genomics,NP,2019-05-30,"University of Calgary, Department of Biological Sciences",144,1692,3,
10.1101/2021.01.21.427618,biorxiv,1,developmental biology,NP,2021-01-21,Institute for Stem Cell Science and Regenerative Medicine,155,2081,8,
10.1101/2022.03.29.486186,biorxiv,1,microbiology,year2,2022-03-29,Max Planck Institute for the Science of Human History: Max-Planck-Institut fur Menschheitsgeschichte,70,3098,10,1.0
10.1101/829887,biorxiv,1,genomics,NP,2019-11-04,University of Texas Southwestern Medical Center,42,1576,5,
10.1101/548180,biorxiv,1,neuroscience,year1,2019-02-15,Stanford University,97,1569,7,1.0
10.1101/2021.03.25.21254356,medrxiv,1,infectious diseases,year1,2021-03-26,University of Pennsylvania,80,847,3,7.0
10.1101/2020.05.27.118695,biorxiv,1,neuroscience,year2,2020-06-01,"Center of Advanced Technologies in Rehabilitation, Sheba Medical Center, Ramat Gan, Israel",102,1864,5,0.0
10.1101/2022.10.04.510903,biorxiv,1,synthetic biology,NP,2022-10-05,Northwestern University,74,1045,3,
10.1101/571505,biorxiv,1,evolutionary biology,year1,2019-03-08,Ben-Gurion University of the Negev,98,1492,6,3.0
10.1101/2021.12.17.473195,biorxiv,1,evolutionary biology,year2,2021-12-20,Memorial University,86,3511,2,0.0
10.1101/2020.10.05.327221,biorxiv,1,cell biology,year1,2020-10-06,"Department of Ophthalmology, Penn State Hershey College of Medicine, Hershey, PA, USA.",148,3050,9,0.0
10.1101/2020.09.03.20186957,medrxiv,1,epidemiology,year1,2020-09-05,Shahjalal University of Science and Technology,73,1567,5,1.0
10.1101/2020.03.29.20046862,medrxiv,1,epidemiology,NP,2020-04-01,"Department of Physics and Astronomy, Johns Hopkins University",86,467,1,
10.1101/2020.05.03.20089193,medrxiv,1,epidemiology,NP,2020-05-08,Henan University,120,1882,1,
10.1101/2020.11.10.363747,biorxiv,1,biochemistry,year1,2020-11-10,"Johannes Gutenberg-University Mainz, Germany and Centre for Biomolecular Magnetic Resonance, Goethe-University, Frankfurt, Germany",144,1417,6,2.0
10.1101/2021.03.31.437955,biorxiv,1,biochemistry,year1,2021-04-01,NYU,83,1410,6,12.0
10.1101/614768,biorxiv,1,neuroscience,year1,2019-04-19,University of Utah,96,1614,2,4.0
10.1101/701227,biorxiv,1,genetics,NP,2019-07-18,University of Sao Paulo,133,387,3,
10.1101/2020.03.10.972687,biorxiv,1,neuroscience,year1,2020-03-10,"Laboratory of Neuropsychiatry, Mental health services in the Capital Region of Denmark and University of Copenhagen, 2100 Copenhagen, Denmark",93,1396,3,1.0
10.1101/2020.03.27.20045674,medrxiv,1,pain medicine,year1,2020-03-30,Ochsner Health System,89,3292,5,2.0
10.1101/2021.09.10.459727,biorxiv,1,microbiology,year1,2021-09-12,All India Institute of Medical Sciences Rishikesh,170,3267,8,0.0
10.1101/2022.08.16.504160,biorxiv,1,neuroscience,year1,2022-08-17,Texas A&M University,95,1068,4,0.0
10.1101/2021.06.25.449906,biorxiv,1,neuroscience,year2,2021-06-26,Max Planck Institute for Human Cognitive and Brain Sciences,75,1093,8,5.0
10.1101/614289,biorxiv,1,biophysics,NP,2019-04-19,"Department of Chemistry and KoRS-CB, University of Konstanz",63,954,5,
10.1101/2020.10.13.20209254,medrxiv,1,gastroenterology,NP,2020-10-14,Universidade de Sao Paulo,141,1160,4,
10.1101/2020.09.10.20191825,medrxiv,1,epidemiology,year1,2020-09-11,Cardiff University,137,1838,7,3.0
10.1101/2021.09.14.460322,biorxiv,1,bioinformatics,year1,2021-09-14,"University of California, Davis",110,1153,4,0.0
10.1101/829655,biorxiv,1,neuroscience,year2,2019-11-04,"Columbia University, Zuckerman Mind Brain and Behavior Institute and Department of Neuroscience, NY, USA",100,1617,7,3.0
10.1101/2022.08.17.22278562,medrxiv,1,oncology,NP,2022-08-21,University of California San Francisco,73,1090,8,
10.1101/2021.09.03.458871,biorxiv,1,developmental biology,NP,2021-09-04,Harvard Medical School,30,1743,15,
10.1101/2020.09.11.20192971,medrxiv,1,epidemiology,year2+,2020-09-13,"University of California, Davis",41,1354,4,3.0
10.1101/2020.09.08.287045,biorxiv,1,developmental biology,year1,2020-09-08,University of Barcelona,100,1499,10,5.0
10.1101/2022.04.27.489732,biorxiv,1,plant biology,year1,2022-04-28,UC Riverside,177,1617,3,6.0
10.1101/2020.05.18.20105320,medrxiv,1,pediatrics,year1,2020-05-21,"Department of Pediatric Neurology and Metabolic Medicine, Center for Pediatric and Adolescent Medicine, University Hospital Heidelberg, Heidelberg, Germany",89,1560,2,0.0
10.1101/2021.11.04.467267,biorxiv,1,systems biology,year1,2021-11-04,Leiden University,92,1755,4,3.0
10.1101/2022.01.14.475727,biorxiv,1,immunology,NP,2022-01-18,University of Cambridge,75,1135,25,
10.1101/2020.10.27.20211631,medrxiv,1,epidemiology,year1,2020-10-28,Yale University,50,2259,8,61.0
10.1101/2020.04.05.026823,biorxiv,1,plant biology,year1,2020-04-06,"University of California, Davis",84,1089,1,6.0
10.1101/2022.07.12.499702,biorxiv,1,physiology,NP,2022-07-13,University of Waterloo,96,2265,1,
10.1101/440735,biorxiv,1,genetics,NP,2018-10-11,"Wellcome Sanger Institute, European Bioinformatics Institute",76,1965,3,
10.1101/518993,biorxiv,1,plant biology,NP,2019-01-13,Sylhet Agricultural University,71,1879,3,
10.1101/2021.07.30.454436,biorxiv,1,pharmacology and toxicology,year1,2021-07-30,Istituto di Ricerche Farmacologiche Mario Negri,117,2732,19,1.0
10.1101/2020.05.28.120576,biorxiv,1,neuroscience,year1,2020-05-28,hebrew University - Hadassah Medical School,82,1086,7,2.0
10.1101/2022.01.29.478182,biorxiv,1,neuroscience,year1,2022-01-31,Columbia University,121,2529,15,1.0
10.1101/2021.05.02.442337,biorxiv,1,biophysics,NP,2021-05-02,University of Sheffield,66,692,2,
10.1101/2022.03.22.22272780,medrxiv,1,obstetrics and gynecology,year1,2022-03-23,Southern Health NHS Foundation,98,2023,10,0.0
10.1101/2021.10.17.463719,biorxiv,1,plant biology,NP,2021-10-17,Vrije Universiteit Amsterdam,116,974,4,
10.1101/476341,biorxiv,1,cell biology,year1,2018-11-26,Princeton University,104,1641,10,7.0
10.1101/453035,biorxiv,1,neuroscience,year1,2018-10-25,University of Washington,84,1318,6,10.0
10.1101/2021.02.16.428560,biorxiv,1,microbiology,year1,2021-02-16,"TZW: DVGW-Technologiezentrum Wasser (German Water Center), Karlsruher Str. 84, 76139, Karlsruhe, Germany",97,2784,10,7.0
10.1101/2022.04.24.22273652,medrxiv,1,otolaryngology,year1,2022-04-27,Duke University,107,2272,8,1.0
10.1101/861658,biorxiv,1,genomics,year2,2019-12-02,"Tohoku Medical Megabank Organization, Tohoku University, Japan",117,1373,16,12.0
10.1101/2021.10.29.466470,biorxiv,1,biophysics,year1,2021-11-01,UMass Chan Medical School,58,1083,5,22.0
10.1101/352682,biorxiv,1,genomics,year1,2018-06-20,University of California San Diego,116,1060,11,16.0
10.1101/2022.02.24.22268947,medrxiv,1,epidemiology,year2,2022-02-25,"School of Population and Global Health, McGill University, QC, Canada",108,1748,5,0.0
10.1101/2021.03.08.434338,biorxiv,1,neuroscience,year2,2021-03-09,"Mind, Brain, and Behavior Research Center (CIMCYC), University of Granada, 18011, Granada, Spain.",89,1777,4,0.0
10.1101/2022.02.08.22269570,medrxiv,1,infectious diseases,NP,2022-02-09,Emory School of Medicine,186,2131,4,
10.1101/2020.07.19.188789,biorxiv,1,genetics,NP,2020-07-19,Regeneron Pharmaceuticals,115,1889,23,
10.1101/2020.01.23.916742,biorxiv,1,genetics,NP,2020-01-23,The James Hutton Institute,15,989,18,
10.1101/2021.09.27.462034,biorxiv,1,molecular biology,NP,2021-09-27,Stanford University,97,1782,4,
10.1101/2022.01.24.476744,biorxiv,1,systems biology,NP,2022-01-24,Leibniz University Hannover,96,1689,4,
10.1101/2020.04.15.042648,biorxiv,1,microbiology,year2+,2020-04-15,Institute of Hydrobiology Chinese Academy of Sciences,131,1021,8,0.0
10.1101/2022.07.29.22278190,medrxiv,1,infectious diseases,year1,2022-07-31,"Mathematical Modelling of Infectious Diseases Unit, Institut Pasteur, Université Paris Cité, UMR2000, CNRS, Paris, 75015, France",103,1029,11,0.0
10.1101/2020.03.16.994616,biorxiv,1,molecular biology,year2,2020-03-18,"Department of Environmental Medicine, New York University Grossman School of Medicine, New York, NY, USA",61,1474,6,1.0
10.1101/2020.09.15.298497,biorxiv,1,neuroscience,year1,2020-09-15,Pontificia Universidad Catolica de Chile,86,1009,4,0.0
10.1101/2021.07.28.454140,biorxiv,1,biophysics,year1,2021-07-28,KTH Royal Institute of Technology,104,1550,5,3.0
10.1101/622613,biorxiv,1,microbiology,year1,2019-04-29,Juntendo Univ.,180,1039,8,0.0
10.1101/2021.03.17.435787,biorxiv,1,animal behavior and cognition,year1,2021-03-18,"Laboratoire Jean Perrin, IBPS, CNRS, Sorbonne Universite",71,2327,5,0.0
10.1101/2022.06.08.494063,biorxiv,1,neuroscience,year1,2022-06-12,"Xenon Pharmaceuticals, Inc.",131,2036,8,0.0
10.1101/2022.02.22.481487,biorxiv,1,genetics,year1,2022-02-22,Universidad VERITAS,199,1721,15,0.0
10.1101/2021.04.20.21255059,medrxiv,1,infectious diseases,year1,2021-04-20,Hospital Moinhos de Vento,101,1487,14,6.0
10.1101/2021.03.07.433735,biorxiv,1,neuroscience,NP,2021-03-08,Southeast University,107,1974,7,
10.1101/2020.09.02.20185983,medrxiv,1,intensive care and critical care medicine,year1,2020-09-03,University of Minnesota,139,2966,10,20.0
10.1101/454058,biorxiv,1,ecology,year2,2018-10-31,"Hakubi Center, Kyoto University",77,2498,3,6.0
10.1101/435198,biorxiv,1,molecular biology,NP,2018-10-04,University of Glasgow,150,994,7,
10.1101/336982,biorxiv,1,neuroscience,year1,2018-06-05,MRC Laboratory of Molecular Biology,66,1350,9,0.0
10.1101/612416,biorxiv,1,cell biology,year2,2019-04-17,University of Massachusetts Medical School,135,1024,7,1.0
10.1101/2020.06.04.20112011,medrxiv,1,epidemiology,year1,2020-06-05,Harvard Medical School,128,2042,10,10.0
10.1101/2020.08.06.236117,biorxiv,1,genomics,year2,2020-08-07,"Institute of Infection and Global Health, University of Liverpool, Liverpool, United Kingdom",134,355,10,4.0
10.1101/2022.05.05.490840,biorxiv,1,plant biology,year1,2022-05-05,University of Illinois at Urbana-Champaign,119,1378,5,7.0
10.1101/2020.06.21.163436,biorxiv,1,plant biology,year1,2020-06-22,Algoma University,163,2887,5,4.0
10.1101/2022.07.24.22277784,medrxiv,1,infectious diseases,NP,2022-07-29,Western Health,120,2389,12,
10.1101/2020.06.05.20123604,medrxiv,1,epidemiology,year1,2020-06-09,Federal University of Parana,84,2088,3,7.0
10.1101/2020.11.23.20237289,medrxiv,1,geriatric medicine,year1,2020-11-24,"Women\'s College Research Institute, Women\'s College Hospital, Toronto, ON",62,2777,11,23.0
