doi,server,version,category,publiStatus,date,author_corresponding_institution,titleLength,abstractLength,numberAuthors,cit1year
10.1101/2020.01.05.893206,biorxiv,1,cell biology,NP,2020-01-05,CNRS - IRIM,118,1814,13,
10.1101/2020.01.06.890244,biorxiv,1,bioinformatics,year1,2020-01-06,Tel Aviv University,112,1746,4,4.0
10.1101/2020.01.06.895011,biorxiv,1,plant biology,year1,2020-01-06,The Hebrew University,130,1630,6,5.0
10.1101/2020.01.06.895797,biorxiv,1,developmental biology,year1,2020-01-07,Van Andel Institute,147,1123,8,2.0
10.1101/2020.01.06.896670,biorxiv,1,cell biology,year1,2020-01-06,University of Washington,126,1940,9,22.0
10.1101/2020.01.07.894535,biorxiv,1,immunology,NP,2020-01-08,"University of California, San Francisco",96,1279,26,
10.1101/2020.01.07.897074,biorxiv,1,genetics,year1,2020-01-08,IPK,93,1518,16,5.0
10.1101/2020.01.07.897280,biorxiv,1,genetics,NP,2020-01-08,Volcani Center,81,1645,5,
10.1101/2020.01.08.898189,biorxiv,1,cell biology,year1,2020-01-08,Universiteit Utrecht,71,1129,4,4.0
10.1101/2020.01.08.898338,biorxiv,1,pharmacology and toxicology,year1,2020-01-09,"Department of Drug Design and Pharmacology, University of Copenhagen, 2100 Copenhagen, Denmark",140,1495,6,6.0
10.1101/2020.01.08.898437,biorxiv,1,developmental biology,year1,2020-01-08,University of Bergen,113,1049,7,4.0
10.1101/2020.01.08.898718,biorxiv,1,neuroscience,NP,2020-01-09,"The Scripps Research Institute, Florida",73,1793,5,
10.1101/2020.01.08.898742,biorxiv,1,bioinformatics,year1,2020-01-13,Independent Research,81,1061,1,0.0
10.1101/2020.01.09.900787,biorxiv,1,developmental biology,year2+,2020-01-09,Van Andel Institute,144,1702,4,1.0
10.1101/2020.01.10.901496,biorxiv,1,plant biology,NP,2020-01-10,Universidade Federal de Viçosa,94,3122,8,
10.1101/2020.01.10.902494,biorxiv,1,evolutionary biology,year1,2020-01-11,"University of Puerto Rico, Rio Piedras",89,1464,5,6.0
10.1101/2020.01.10.902601,biorxiv,1,molecular biology,year1,2020-01-11,Lehigh University,113,1596,3,0.0
10.1101/2020.01.11.902791,biorxiv,1,genetics,year1,2020-01-14,"Institute of Neuroscience, Chinese Academy of Sciences",96,1119,12,0.0
10.1101/2020.01.11.902908,biorxiv,1,neuroscience,year1,2020-01-13,Boston University School of Medicine,174,1713,11,4.0
10.1101/2020.01.12.891176,biorxiv,1,microbiology,NP,2020-01-13,Chan Zuckerberg Biohub,85,598,17,
10.1101/2020.01.12.903211,biorxiv,1,developmental biology,year1,2020-01-14,Temple University,90,1652,4,2.0
10.1101/2020.01.12.903286,biorxiv,1,synthetic biology,year1,2020-01-14,University of Western Australia,110,1271,6,13.0
10.1101/2020.01.12.903492,biorxiv,1,molecular biology,year1,2020-01-13,University of Leicester,77,975,10,2.0
10.1101/2020.01.13.891630,biorxiv,1,cell biology,year1,2020-01-14,IRIBHM-ULB,121,1550,13,6.0
10.1101/2020.01.13.904763,biorxiv,1,developmental biology,NP,2020-01-14,Andalusian Center for Developmental Biology (CABD),65,1083,14,
10.1101/2020.01.13.904870,biorxiv,1,biochemistry,year1,2020-01-14,University of Georgia,121,1704,17,5.0
10.1101/2020.01.14.905729,biorxiv,1,systems biology,year1,2020-01-14,Wellcome Trust Sanger Institute,96,1244,17,14.0
10.1101/2020.01.14.906198,biorxiv,1,biochemistry,NP,2020-01-14,Drexel University College of Medicine,165,1744,9,
10.1101/2020.01.15.898700,biorxiv,1,plant biology,NP,2020-01-15,Edmund Mach Foundation; University of Udine,73,1890,6,
10.1101/2020.01.15.903914,biorxiv,1,bioinformatics,NP,2020-01-15,University Paris Sud 11,174,1599,6,
10.1101/2020.01.15.905943,biorxiv,1,genetics,NP,2020-01-15,ETH Zurich,71,1462,10,
10.1101/2020.01.15.907766,biorxiv,1,cell biology,year1,2020-01-15,Hubrecht Institute,121,1175,10,29.0
10.1101/2020.01.15.908434,biorxiv,1,neuroscience,year1,2020-01-16,Rutgers University,82,2378,7,4.0
10.1101/2020.01.16.908319,biorxiv,1,molecular biology,year1,2020-01-17,Yeditepe University,78,2482,5,4.0
10.1101/2020.01.16.908764,biorxiv,1,genetics,year1,2020-01-17,"Institute of Molecular Biology/Biocenter, Innsbruck Medical University",105,1465,13,1.0
10.1101/2020.01.16.909325,biorxiv,1,pharmacology and toxicology,year1,2020-01-17,"University of Miami, Miller School of Medicine, Sylvester Comprehensive Cancer Center, Center for Computational Sciences",115,2551,6,6.0
10.1101/2020.01.16.909606,biorxiv,1,systems biology,NP,2020-01-17,University of Texas MD Anderson Cancer Center,61,1348,3,
10.1101/2020.01.17.911081,biorxiv,1,microbiology,year1,2020-01-20,University of Pretoria,66,2233,8,4.0
10.1101/2020.01.20.912576,biorxiv,1,genetics,year1,2020-01-20,University of Kaiserslautern,169,1543,10,5.0
10.1101/2020.01.22.915389,biorxiv,1,synthetic biology,NP,2020-01-23,North Carolina State University,109,1281,5,
10.1101/2020.01.22.916064,biorxiv,1,bioengineering,year1,2020-01-23,New York Genome Center and NYU,103,1124,7,11.0
10.1101/2020.01.23.916718,biorxiv,1,cell biology,NP,2020-01-23,"Institute of Plant and Microbial Biology, Academia Sinica, Nankang, Taipei, Taiwan",104,1463,9,
10.1101/2020.01.23.916767,biorxiv,1,microbiology,NP,2020-01-24,NIH,81,1396,6,
10.1101/2020.01.24.917807,biorxiv,1,immunology,year2,2020-01-25,"Department of Immunopathology, Sanquin Research, Amsterdam, The Netherlands",109,1204,15,3.0
10.1101/2020.01.24.917906,biorxiv,1,genetics,year1,2020-01-24,Institute of Plant Physiology and Ecology Shanghai Institutes for Biological Sciences,101,2290,14,6.0
10.1101/2020.01.24.918706,biorxiv,1,cell biology,year1,2020-01-25,University of Pittsburgh,91,1042,17,3.0
10.1101/2020.01.26.914861,biorxiv,1,bioinformatics,NP,2020-01-27,University of Massachusetts Medical School,95,1261,5,
10.1101/2020.01.27.920876,biorxiv,1,genetics,year1,2020-01-27,Institut de Genetique et Microbiologie,86,3090,4,1.0
10.1101/2020.01.27.921460,biorxiv,1,plant biology,year1,2020-01-28,Boyce Thompson Institute for Plant Research,142,1558,4,6.0
10.1101/2020.01.27.921718,biorxiv,1,cancer biology,year1,2020-01-28,Cornell University,139,1783,5,3.0
10.1101/2020.01.27.921833,biorxiv,1,plant biology,NP,2020-01-28,VIB-UGent,149,1877,11,
10.1101/2020.01.27.922450,biorxiv,1,cell biology,year1,2020-01-29,Hannover Medical School,101,1122,12,10.0
10.1101/2020.01.28.917401,biorxiv,1,genetics,year1,2020-01-28,Newcastle University,108,1781,8,5.0
10.1101/2020.01.28.923425,biorxiv,1,neuroscience,year1,2020-01-29,Broad Institute,94,1826,9,0.0
10.1101/2020.01.28.924043,biorxiv,1,cell biology,year2+,2020-01-29,Rowan University,79,1996,4,13.0
10.1101/2020.01.29.918037,biorxiv,1,neuroscience,year1,2020-01-31,"Lee Kong Chian School of Medicine, Nanyang Technological University, Clinical Sciences Building, Singapore 308232, Singapore; The Blizard Institute, Barts & The",142,1676,43,17.0
10.1101/2020.01.29.924878,biorxiv,1,genomics,year1,2020-01-30,"Skeletal Research Group, Biosciences Institute, Newcastle University, Central Parkway, Newcastle upon Tyne, NE1 3BZ, UK",85,1806,10,1.0
10.1101/2020.01.30.926279,biorxiv,1,developmental biology,NP,2020-01-31,"Shanghai Institute of Nutrition and Health, Room 2204, New Life Science Building A, 320 Yue-Yang Rd,",111,1652,4,
10.1101/2020.01.30.926543,biorxiv,1,genetics,year1,2020-01-30,Cornell University,118,1684,5,2.0
10.1101/2020.01.31.928879,biorxiv,1,bioengineering,NP,2020-02-02,University of Michigan,56,1114,6,
10.1101/2020.01.31.929018,biorxiv,1,cell biology,NP,2020-01-31,UCSF,84,1397,6,
10.1101/2020.01.31.929026,biorxiv,1,molecular biology,year1,2020-02-02,Skirball Institute of Biomolecular Medicine,103,1112,9,13.0
10.1101/2020.01.31.929059,biorxiv,1,molecular biology,NP,2020-01-31,Skirball Institute of Biomolecular Medicine,85,1122,6,
10.1101/2020.01.31.929752,biorxiv,1,microbiology,NP,2020-02-02,South China Agricultural University,93,2004,3,
10.1101/2020.02.02.931337,biorxiv,1,genetics,NP,2020-02-03,Washington University in St. Louis,121,2059,3,
10.1101/2020.02.03.922146,biorxiv,1,synthetic biology,NP,2020-02-04,Harvard Medical School,30,768,12,
10.1101/2020.02.03.931592,biorxiv,1,neuroscience,year1,2020-02-04,University of Southampton,113,1696,6,2.0
10.1101/2020.02.03.932848,biorxiv,1,immunology,year1,2020-02-04,UC Berkeley,87,1620,9,1.0
10.1101/2020.02.03.932855,biorxiv,1,systems biology,year1,2020-02-04,University of Nottingham,176,3060,8,1.0
10.1101/2020.02.03.933093,biorxiv,1,genetics,year1,2020-02-05,National Centre for Biological Sciences_TIFR,120,931,7,5.0
10.1101/2020.02.03.933101,biorxiv,1,molecular biology,NP,2020-02-04,Mengchao Hepatobiliary Hospital of Fujian Medical University,128,1604,10,
10.1101/2020.02.04.933614,biorxiv,1,biochemistry,year1,2020-02-04,"National Primate Research Center (NPRC), Korea Research Institute of Bioscience and Biotechnology (KRIBB), Cheongju, Korea",84,1323,14,3.0
10.1101/2020.02.04.934133,biorxiv,1,plant biology,year1,2020-02-05,"Boyce Thompson Institute, Cornell University",91,1497,7,0.0
10.1101/2020.02.04.934927,biorxiv,1,molecular biology,year2,2020-02-05,University of Erlangen-Nuremberg,83,1013,11,4.0
10.1101/2020.02.05.935965,biorxiv,1,evolutionary biology,year1,2020-02-07,University of Exeter,111,2285,2,9.0
10.1101/2020.02.06.927384,biorxiv,1,molecular biology,year2,2020-02-06,Temple University,84,1473,5,3.0
10.1101/2020.02.06.936286,biorxiv,1,cancer biology,year2,2020-02-07,Dana-Farber Cancer Institute,99,1277,14,4.0
10.1101/2020.02.06.937003,biorxiv,1,plant biology,year1,2020-02-06,Texas A&M University,97,1560,2,6.0
10.1101/2020.02.07.937789,biorxiv,1,physiology,year1,2020-02-07,University of Alabama at Birmingham,123,1442,5,3.0
10.1101/2020.02.07.938639,biorxiv,1,genetics,year1,2020-02-07,Instituto de Investigaciones Biologicas Clemente Estable,125,1787,8,5.0
10.1101/2020.02.07.938696,biorxiv,1,genetics,year1,2020-02-07,New York University,49,916,4,2.0
10.1101/2020.02.07.938753,biorxiv,1,cancer biology,year1,2020-02-07,National Cancer Institute,118,1278,6,12.0
10.1101/2020.02.07.938977,biorxiv,1,plant biology,year2,2020-02-09,"VIB-UGent Center for Plant Systems Biology Technologiepark 71, B-9052 Gent (Belgium)",82,1491,8,2.0
10.1101/2020.02.07.939256,biorxiv,1,neuroscience,year2,2020-02-12,University of California San Diego,128,1055,20,3.0
10.1101/2020.02.08.934125,biorxiv,1,bioengineering,NP,2020-02-10,"Department of Ophthalmology and Vision Science, Shanghai Eye, Ear, Nose and Throat Hospital, Fudan University",91,981,7,
10.1101/2020.02.08.939728,biorxiv,1,plant biology,year1,2020-02-10,Huazhong Agricultural University,103,1826,7,15.0
10.1101/2020.02.08.940007,biorxiv,1,synthetic biology,year1,2020-02-10,Harvard Medical School,103,1238,7,6.0
10.1101/2020.02.09.940486,biorxiv,1,genomics,year1,2020-02-09,"Science for Life Laboratory, Department of Immunology, Genetics and Pathology, Uppsala University, Sweden",90,1692,13,10.0
10.1101/2020.02.10.937540,biorxiv,1,biochemistry,year1,2020-02-10,"Howard Hughes Medical Institute, University of California, Berkeley",68,1263,6,14.0
10.1101/2020.02.10.939223,biorxiv,1,molecular biology,year2,2020-02-10,University of Michigan,76,1229,7,0.0
10.1101/2020.02.10.942151,biorxiv,1,molecular biology,year1,2020-02-11,King Abdullah University of Science and Technology,99,605,10,6.0
10.1101/2020.02.10.942334,biorxiv,1,plant biology,NP,2020-02-12,"Bielefeld University, Algae Biotechnology and Bioenergy, Faculty of Biology, Center for Biotechnology CeBiTec",121,1104,9,
10.1101/2020.02.10.942672,biorxiv,1,bioengineering,year1,2020-02-12,University of Western Ontario,143,1700,7,5.0
10.1101/2020.02.10.942821,biorxiv,1,microbiology,NP,2020-02-12,"Wadsworth Center, New York State Department of Health; Department of Biomedical Sciences, School of Public Health, University at Albany",88,1326,5,
10.1101/2020.02.11.943324,biorxiv,1,plant biology,year1,2020-02-12,"School of Biological Sciences, The University of Adelaide, Adelaide, 5005, Australia",117,1066,5,2.0
10.1101/2020.02.11.943332,biorxiv,1,cell biology,year1,2020-02-13,Technische Universitaet Braunschweig,79,1422,2,2.0
10.1101/2020.02.11.944165,biorxiv,1,genomics,year1,2020-02-12,Beam Therapeutics,119,1630,9,23.0
10.1101/2020.02.11.944819,biorxiv,1,molecular biology,year2,2020-02-12,Nationwide Children's Hospital,62,1059,5,13.0
10.1101/2020.02.12.945113,biorxiv,1,bioinformatics,NP,2020-02-13,University of California San Francisco,112,1347,5,
10.1101/2020.02.12.945287,biorxiv,1,microbiology,year1,2020-02-13,Delft University of Technology,114,2714,5,5.0
10.1101/2020.02.12.945550,biorxiv,1,genomics,year1,2020-02-13,The James Hutton Institute,82,1127,10,13.0
10.1101/2020.02.12.945907,biorxiv,1,molecular biology,year1,2020-02-13,University of Bern,61,967,6,1.0
10.1101/2020.02.12.946004,biorxiv,1,neuroscience,year1,2020-02-13,University of Rochester Medical Center,148,2042,4,14.0
10.1101/2020.02.12.946046,biorxiv,1,biochemistry,year1,2020-02-17,University of St Andrews,104,1059,6,14.0
10.1101/2020.02.12.946137,biorxiv,1,cell biology,year1,2020-02-13,NIH,118,2129,8,7.0
10.1101/2020.02.13.947002,biorxiv,1,genomics,year1,2020-02-14,"NIAID, National Institutes of Health",75,1219,5,2.0
10.1101/2020.02.13.947424,biorxiv,1,developmental biology,year1,2020-02-14,The Francis Crick Institute,156,2666,4,0.0
10.1101/2020.02.13.947465,biorxiv,1,neuroscience,year1,2020-02-14,University of Central Florida,100,1206,7,8.0
10.1101/2020.02.13.948224,biorxiv,1,developmental biology,NP,2020-02-14,Washington University School of Medicine,161,1406,14,
10.1101/2020.02.13.948307,biorxiv,1,plant biology,year1,2020-02-14,The University of Manchester,140,1471,4,3.0
10.1101/2020.02.14.949040,biorxiv,1,plant biology,year1,2020-02-14,TU Kaiserslautern,175,1519,6,4.0
10.1101/2020.02.14.950261,biorxiv,1,bioinformatics,NP,2020-02-15,Queensland University of Technology,67,1090,3,
10.1101/2020.02.17.945014,biorxiv,1,genomics,year1,2020-02-19,ShanghaiTech University,81,1747,12,6.0
10.1101/2020.02.17.949768,biorxiv,1,bioengineering,year1,2020-02-17,Vanderbilt University,117,1696,5,2.0
10.1101/2020.02.17.952747,biorxiv,1,plant biology,year1,2020-02-17,University of Washington,95,1381,5,9.0
10.1101/2020.02.17.952754,biorxiv,1,cancer biology,year1,2020-02-17,The Affiliated Hospital of Jiangsu University,93,1351,13,11.0
10.1101/2020.02.18.948406,biorxiv,1,evolutionary biology,year1,2020-02-19,"University of California, San Francisco",112,964,2,10.0
10.1101/2020.02.18.954610,biorxiv,1,molecular biology,NP,2020-02-19,"School of Life Science and Technology, ShanghaiTech University, Shanghai, China.",83,797,10,
10.1101/2020.02.18.955286,biorxiv,1,genetics,year1,2020-02-20,"nstitute of Neuroscience, Chinese Academy of Sciences",119,504,12,5.0
10.1101/2020.02.19.952960,biorxiv,1,biochemistry,year1,2020-02-19,University of Zurich,107,805,9,19.0
10.1101/2020.02.19.956169,biorxiv,1,microbiology,NP,2020-02-20,"Institute for Regenerative Medicine, Shanghai East Hospital, Tongji University School of Medicine",79,1003,7,
10.1101/2020.02.20.957498,biorxiv,1,microbiology,year2,2020-02-20,University of Jyvaskyla,82,886,7,12.0
10.1101/2020.02.20.957746,biorxiv,1,genomics,year1,2020-02-20,"Th Gurdon Institute, Cancer Research UK",73,944,7,4.0
10.1101/2020.02.21.956664,biorxiv,1,molecular biology,NP,2020-02-24,Children's Hospital of Philadelphia,62,1099,6,
10.1101/2020.02.21.959023,biorxiv,1,cancer biology,year1,2020-02-23,"Department of Pharmacology & Chemical Biology, University of Pittsburgh School of Medicine, Pittsburgh, PA, USA",91,1251,10,7.0
10.1101/2020.02.21.959734,biorxiv,1,genomics,year2,2020-02-24,New York Genome Center & Columbia University,113,1490,10,7.0
10.1101/2020.02.21.959866,biorxiv,1,microbiology,NP,2020-02-24,Umea University,65,1135,3,
10.1101/2020.02.22.20025460,medrxiv,2,infectious diseases,year1,2020-02-25,"Vision Medicals Co., Ltd, 31 Kefeng Rd, G10-301, Guangzhou 510000, China",82,1217,15,54.0
10.1101/2020.02.22.961151,biorxiv,1,plant biology,year1,2020-02-23,"School of Life Sciences, USTC",116,1341,6,9.0
10.1101/2020.02.23.961672,biorxiv,1,cancer biology,NP,2020-02-25,St. Jude Childrens Research Hospital,122,1327,24,
10.1101/2020.02.23.961862,biorxiv,1,evolutionary biology,year2,2020-02-25,New York University,67,993,2,3.0
10.1101/2020.02.23.962118,biorxiv,1,neuroscience,NP,2020-02-25,Severance Children's Hospital  Pediatrics,68,1209,11,
10.1101/2020.02.24.962316,biorxiv,1,neuroscience,year2,2020-02-25,Biocruces Bizkaia Health Research Institute,115,1178,11,3.0
10.1101/2020.02.24.962423,biorxiv,1,genetics,year1,2020-02-24,Brandeis University,88,2200,7,11.0
10.1101/2020.02.24.963231,biorxiv,1,developmental biology,year1,2020-02-25,Heidelberg University,112,1404,5,4.0
10.1101/2020.02.24.963454,biorxiv,1,cancer biology,NP,2020-02-26,Cleveland Clinic,80,998,13,
10.1101/2020.02.24.963900,biorxiv,1,immunology,year1,2020-02-28,Imperial College London,120,2010,11,11.0
10.1101/2020.02.25.963017,biorxiv,1,cell biology,year2,2020-02-26,"Department of Biomedical Sciences, University of Lausanne",146,1745,16,9.0
10.1101/2020.02.25.965061,biorxiv,1,cell biology,NP,2020-02-25,"Brigham and Women's Hospital, Harvard Medical School",77,1207,5,
10.1101/2020.02.25.965277,biorxiv,1,developmental biology,year1,2020-02-25,University of Kansas,120,1326,3,2.0
10.1101/2020.02.25.965301,biorxiv,1,immunology,year1,2020-02-25,"University of California, San Francisco",103,1036,5,22.0
10.1101/2020.02.26.960336,biorxiv,1,immunology,NP,2020-02-27,Indee Labs,118,990,6,
10.1101/2020.02.26.964981,biorxiv,1,immunology,NP,2020-02-27,Salk Institute,114,1029,9,
10.1101/2020.02.26.965889,biorxiv,1,bioinformatics,year1,2020-02-26,Imperial College London,82,512,4,1.0
10.1101/2020.02.26.966333,biorxiv,1,genetics,year1,2020-02-27,German Cancer Research Center,64,1777,3,6.0
10.1101/2020.02.26.966820,biorxiv,1,neuroscience,year1,2020-02-27,"Vollum Institute, Oregon Health and Science University, Portland, OR, USA, 97239",90,972,8,12.0
10.1101/2020.02.26.966911,biorxiv,1,immunology,NP,2020-02-27,UCSF,78,1947,21,
10.1101/2020.02.26.967026,biorxiv,1,genomics,NP,2020-03-02,Broad Institute of MIT and Harvard,94,1209,5,
10.1101/2020.02.27.968263,biorxiv,1,microbiology,year1,2020-02-28,Varigen Biosciences,131,1760,14,1.0
10.1101/2020.02.27.968297,biorxiv,1,molecular biology,year1,2020-02-28,"Departments of Genetics, Biology, and Chemistry, Chan Zuckerberg Biohub, Stanford University, Stanford, CA 94305, USA",69,1102,6,21.0
10.1101/2020.02.27.968933,biorxiv,1,bioinformatics,year2+,2020-02-28,The Jackson Laboratory for Genomic Medicine,71,1013,2,0.0
10.1101/2020.02.28.967752,biorxiv,1,cell biology,year2,2020-02-28,"Charite Universitaetsmedizin Berlin, corporate member of Freie Universitaet Berlin, Humboldt-Universitaet zu Berlin, and Berlin Institute of Health, Laboratory ",88,1342,12,11.0
10.1101/2020.02.28.970442,biorxiv,1,molecular biology,NP,2020-02-28,Cedars-Sinai Medical Center,57,1081,2,
10.1101/2020.02.28.970822,biorxiv,1,immunology,year1,2020-03-03,Tel Aviv University,130,897,11,12.0
10.1101/2020.02.29.971127,biorxiv,1,molecular biology,NP,2020-03-02,"CASPR Biotech, California, USA",109,477,3,
10.1101/2020.03.02.973784,biorxiv,1,bioinformatics,year1,2020-03-04,"Department of Bionanoscience, Kavli Institute of Nanoscience, Delft University of Technology, Delft, Netherlands",75,1425,4,9.0
10.1101/2020.03.02.973842,biorxiv,1,pharmacology and toxicology,year1,2020-03-04,University of Western Ontario,91,1819,2,3.0
10.1101/2020.03.03.966796,biorxiv,1,developmental biology,year1,2020-03-03,University of Chicago,124,1136,5,8.0
10.1101/2020.03.03.973719,biorxiv,1,cancer biology,year1,2020-03-05,INSERM U1052,129,1879,14,1.0
10.1101/2020.03.03.974378,biorxiv,1,biochemistry,year2,2020-03-04,Tianjin University,117,1057,5,9.0
