doi,server,version,category,publiStatus,date,author_corresponding_institution,titleLength,abstractLength,numberAuthors,cit1year
10.1101/2020.01.14.905661,biorxiv,1,neuroscience,NP,2020-01-15,University of the Witwatersrand,66,1237,6,
10.1101/2020.01.14.905786,biorxiv,1,neuroscience,year2,2020-01-15,BioMed X Innovation Center,88,1214,9,2.0
10.1101/2020.01.14.906446,biorxiv,1,systems biology,NP,2020-01-15,The University of Texas Health Science Center at Houston,114,1307,1,
10.1101/2020.01.14.906560,biorxiv,1,neuroscience,year1,2020-01-15,The Scripps Research Institute,86,1746,5,2.0
10.1101/2020.01.14.906966,biorxiv,1,neuroscience,year1,2020-01-15,Weill Cornell Medicine,95,2006,11,7.0
10.1101/2020.01.15.20017160,medrxiv,1,neurology,year2,2020-01-18,Cleveland Clinic,103,1931,13,15.0
10.1101/2020.01.15.20017236,medrxiv,1,neurology,year1,2020-01-16,Lund University,97,1126,12,49.0
10.1101/2020.01.16.908640,biorxiv,1,neuroscience,NP,2020-01-16,UW-Madison,38,1512,6,
10.1101/2020.01.17.910810,biorxiv,1,neuroscience,year1,2020-01-18,Aix-Marseille University - CNRS,130,3294,15,8.0
10.1101/2020.01.17.910984,biorxiv,1,bioengineering,NP,2020-01-18,University of Pittsburgh,85,1588,9,
10.1101/2020.01.18.911248,biorxiv,1,neuroscience,year2,2020-01-18,Aix-Marseille University - CNRS,117,2418,7,2.0
10.1101/2020.01.21.914135,biorxiv,1,neuroscience,NP,2020-01-23,Columbia University Medical Center,93,1747,8,
10.1101/2020.01.22.20018424,medrxiv,1,genetic and genomic medicine,year2,2020-01-27,"European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI)",115,984,11,53.0
10.1101/2020.01.23.20018507,medrxiv,1,radiology and imaging,year1,2020-01-27,Karolinska Institutet,80,1843,14,7.0
10.1101/2020.01.24.918607,biorxiv,1,neuroscience,year1,2020-01-25,"Department of Nuclear Medicine, College of Medicine, Seoul National University, Seoul, Korea, 2Department of Molecular Medicine and Biopharmaceutical Sciences, ",111,1042,7,6.0
10.1101/2020.01.25.20018747,medrxiv,1,geriatric medicine,year1,2020-01-28,University of Mauritius,87,2078,2,
10.1101/2020.01.26.920512,biorxiv,1,neuroscience,NP,2020-01-27,Saha Institute of Nuclear Physics,132,1087,7,
10.1101/2020.01.27.919522,biorxiv,1,neuroscience,year1,2020-01-27,"German Center for Neurodegenerative Diseases (DZNE), Hertie Institute for Clinical Brain Research",148,1639,11,20.0
10.1101/2020.01.27.920884,biorxiv,1,neuroscience,year1,2020-01-28,Nanyang Technological University,108,2023,3,0.0
10.1101/2020.01.27.920918,biorxiv,1,neuroscience,year2,2020-01-27,Cornell University College of Veterinary Medicine,140,1011,6,4.0
10.1101/2020.01.27.921270,biorxiv,1,bioinformatics,year1,2020-01-28,"Cyprus Institute of Neurology and Genetics, Cyprus School of Molecular Medicine",96,2699,8,4.0
10.1101/2020.01.27.921494,biorxiv,1,neuroscience,year1,2020-01-28,"Achucarro Basque Center for Neuroscience; Department of Cell Biology and Histology, School of Medicine and Nursery, UPV/EHU; IKERBASQUE Basque Foundation for Sc",119,2439,5,0.0
10.1101/2020.01.27.921643,biorxiv,1,neuroscience,year1,2020-01-28,"Department  of Experimental Neurodegeneration, Center for Biostructural Imaging of Neurodegeneration, University Medical Center Goettingen, Goettingen, Germany",92,1477,10,9.0
10.1101/2020.01.27.921700,biorxiv,1,biophysics,NP,2020-01-28,Kansas State University,41,1083,2,
10.1101/2020.01.28.20019125,medrxiv,1,psychiatry and clinical psychology,NP,2020-01-29,Sri Ramachandra Institute of Higher Education and Research,79,1851,8,
10.1101/2020.01.28.923730,biorxiv,1,bioinformatics,NP,2020-01-29,University of Missouri - St. Louis,106,1613,10,
10.1101/2020.01.28.923789,biorxiv,1,neuroscience,year2,2020-01-29,Duke University,118,2115,7,4.0
10.1101/2020.01.29.918037,biorxiv,1,neuroscience,year1,2020-01-31,"Lee Kong Chian School of Medicine, Nanyang Technological University, Clinical Sciences Building, Singapore 308232, Singapore; The Blizard Institute, Barts & The",142,1676,43,17.0
10.1101/2020.01.30.925248,biorxiv,1,immunology,year1,2020-01-30,University of Manchester,75,2530,8,10.0
10.1101/2020.01.30.926444,biorxiv,1,neuroscience,NP,2020-01-31,Ecole Polytechnique Federale de Lausanne,171,1512,7,
10.1101/2020.01.30.927350,biorxiv,1,neuroscience,year1,2020-01-31,University of Southern California,60,805,10,1.0
10.1101/2020.01.30.927822,biorxiv,1,genetics,NP,2020-02-03,QIMR Berghofer Medical Research Institute,186,710,39,
10.1101/2020.01.31.19015503,medrxiv,1,geriatric medicine,year1,2020-02-03,Ulster University,121,2320,6,3.0
10.1101/2020.01.31.20019927,medrxiv,1,health informatics,year1,2020-02-03,Icahn School of Medicine at Mount Sinai,153,1682,3,0.0
10.1101/2020.01.31.929117,biorxiv,1,biochemistry,year2,2020-02-02,"Department of Molecular Medicine, The Scripps Research Institute, 10550 North Torrey Pines Road, La Jolla, CA 92037, USA.",89,1049,7,12.0
10.1101/2020.01.31.929554,biorxiv,1,bioinformatics,NP,2020-02-02,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,84,1275,6,
10.1101/2020.02.01.929844,biorxiv,1,neuroscience,NP,2020-02-02,ETH Zurich & University of Zurich,129,1224,10,
10.1101/2020.02.04.20019380,medrxiv,1,neurology,year1,2020-02-05,University of East Anglia,86,1852,3,5.0
10.1101/2020.02.04.934596,biorxiv,1,bioinformatics,NP,2020-02-05,University of Cape Town,95,1386,4,
10.1101/2020.02.05.935585,biorxiv,1,neuroscience,NP,2020-02-06,Institute of Biology Valrose,62,1237,7,
10.1101/2020.02.06.20020859,medrxiv,1,neurology,year1,2020-02-07,"Alzheimer Center, Amsterdam UMC, location VUmc, Amsterdam, the Netherlands",144,1154,11,2.0
10.1101/2020.02.06.937599,biorxiv,1,bioinformatics,year1,2020-02-07,Arizona State University,94,1482,2,0.0
10.1101/2020.02.06.937664,biorxiv,1,systems biology,NP,2020-02-07,University of Cambridge,114,1315,3,
10.1101/2020.02.07.934687,biorxiv,1,biophysics,year2,2020-02-07,Tohoku University,117,955,3,2.0
10.1101/2020.02.10.20021667,medrxiv,1,epidemiology,NP,2020-02-11,"University of Michigan, School of Public Health",141,1770,11,
10.1101/2020.02.10.931824,biorxiv,1,neuroscience,NP,2020-02-11,"Department of Psychosis Studies, Institute of Psychiatry, Psychology & Neuroscience, King's College London, London, UK; Center of Mathematics, Computing, and Co",118,1440,14,
10.1101/2020.02.10.941328,biorxiv,1,genetics,year2,2020-02-10,University of Exeter,72,1128,9,24.0
10.1101/2020.02.10.941393,biorxiv,1,genetics,NP,2020-02-11,"Research Center and Memory clinic Fundacio ACE. Institut Catala de Neurociencies Aplicades. Universitat Internacional de Catalunya, Barcelona, Spain",106,1612,38,
10.1101/2020.02.10.941906,biorxiv,1,cancer biology,NP,2020-02-11,"IFOM-FIRC Institute of Molecular Oncology, 20139 Milan, Italy",91,1326,12,
10.1101/2020.02.10.942219,biorxiv,1,neuroscience,year1,2020-02-11,Oxford University,80,2814,3,8.0
10.1101/2020.02.11.944306,biorxiv,1,genomics,year1,2020-02-12,"Neurogenomics Division, The Translational Genomics Research Institute, Phoenix, AZ, US",158,2139,15,7.0
10.1101/2020.02.11.944546,biorxiv,1,biochemistry,year1,2020-02-12,"Institute of Biological Information Processing (IBI-7: Structural Biochemistry), Forschungszentrum Juelich, 52425 Juelich, Germany",120,1326,9,32.0
10.1101/2020.02.12.20021998,medrxiv,1,genetic and genomic medicine,year1,2020-02-13,University of Glasgow,111,1571,18,3.0
10.1101/2020.02.12.20022459,medrxiv,1,genetic and genomic medicine,year1,2020-02-13,University of Connecticut Health,69,1307,5,14.0
10.1101/2020.02.12.946004,biorxiv,1,neuroscience,year1,2020-02-13,University of Rochester Medical Center,148,2042,4,14.0
10.1101/2020.02.13.947051,biorxiv,1,neuroscience,year1,2020-02-14,"Queen Mary, University of London",82,2270,6,1.0
10.1101/2020.02.13.947291,biorxiv,1,neuroscience,year1,2020-02-13,Commissariat a l'Energie Atomique et aux Energies Alternatives Centre de Saclay,115,890,5,5.0
10.1101/2020.02.14.949826,biorxiv,1,neuroscience,year2,2020-02-14,University Medical Center Mainz,94,1671,3,1.0
10.1101/2020.02.15.950675,biorxiv,1,neuroscience,year1,2020-02-15,University of East Anglia,97,1768,5,3.0
10.1101/2020.02.17.950600,biorxiv,1,neuroscience,year1,2020-02-18,University of Wisconsin,91,2510,9,3.0
10.1101/2020.02.17.952994,biorxiv,1,bioinformatics,year1,2020-02-19,Washington University School of Medicine in St. Louis,135,1514,3,1.0
10.1101/2020.02.17.953174,biorxiv,1,neuroscience,year2,2020-02-19,University of Pecs,98,1608,13,1.0
10.1101/2020.02.18.20022608,medrxiv,1,neurology,year2,2020-02-19,The University of Melbourne,121,1980,9,18.0
10.1101/2020.02.18.20024471,medrxiv,1,epidemiology,NP,2020-02-20,University College London,127,1152,8,
10.1101/2020.02.19.954578,biorxiv,1,genomics,year1,2020-02-20,Baylor College of Medicine,78,1862,11,2.0
10.1101/2020.02.19.954651,biorxiv,1,genetics,year1,2020-02-21,timothy.j.hohman@vumc.org,90,2176,36,7.0
10.1101/2020.02.19.956359,biorxiv,1,neuroscience,year1,2020-02-20,University of Pennsylvania,136,1703,7,10.0
10.1101/2020.02.21.959676,biorxiv,1,neuroscience,year1,2020-02-25,Georgetown University,147,2617,7,4.0
10.1101/2020.02.22.20026609,medrxiv,1,neurology,NP,2020-02-25,University of Perugia,104,1403,8,
10.1101/2020.02.23.20025064,medrxiv,1,neurology,year1,2020-02-26,Emory University,85,2474,4,
10.1101/2020.02.25.20017525,medrxiv,1,neurology,NP,2020-02-26,"Preventive Neurology Unit, Wolfson Institute of Preventive Medicine, Queen Mary University of London, London UK",98,1346,5,
10.1101/2020.02.25.20027177,medrxiv,1,epidemiology,year2,2020-02-27,University of Helsinki,113,2066,9,3.0
10.1101/2020.02.25.964064,biorxiv,1,neuroscience,NP,2020-02-25,ETH & University of Zurich,133,1096,13,
10.1101/2020.02.26.20027912,medrxiv,1,neurology,year1,2020-02-27,University of Liege,96,1860,28,0.0
10.1101/2020.02.27.967547,biorxiv,1,biophysics,year1,2020-02-27,University of St Andrews,96,1127,9,4.0
10.1101/2020.02.27.967836,biorxiv,1,neuroscience,year1,2020-02-27,Keio University School of Medicine,79,1197,22,14.0
10.1101/2020.02.28.957894,biorxiv,1,genomics,year2,2020-02-28,University of Exeter,133,1063,23,11.0
10.1101/2020.02.28.964742,biorxiv,1,neuroscience,NP,2020-02-28,"Campbell Family Mental Health Research Institute of CAMH, Toronto, Canada",127,2141,7,
10.1101/2020.02.28.969840,biorxiv,1,neuroscience,year1,2020-03-02,Cornell University,153,1751,8,2.0
10.1101/2020.03.02.20030197,medrxiv,1,genetic and genomic medicine,year1,2020-03-02,Brigham Young University,110,2390,12,3.0
10.1101/2020.03.02.973636,biorxiv,1,biochemistry,year1,2020-03-03,"1. Chemical Neurobiology Laboratory, Center for Genomic Medicine, Department of Neurology, Massachusetts General Hospital, Harvard Medical School, 185 Cambridge",111,2299,9,2.0
10.1101/2020.03.03.972299,biorxiv,1,bioengineering,year1,2020-03-05,Indiana University Bloomington,73,1908,8,2.0
10.1101/2020.03.03.974394,biorxiv,1,biochemistry,year1,2020-03-04,Georgia Institute of Technology,107,1466,8,12.0
10.1101/2020.03.04.976670,biorxiv,1,neuroscience,year1,2020-03-05,McGill University,120,1245,23,3.0
10.1101/2020.03.05.20028407,medrxiv,1,neurology,year1,2020-03-11,"National Institute of Radiological Sciences, National Institutes for Quantum and Radiological Science and Technology",103,1128,33,30.0
10.1101/2020.03.05.979187,biorxiv,1,genetics,year1,2020-03-06,Emory University School of Medicine,134,1755,7,8.0
10.1101/2020.03.05.979229,biorxiv,1,neuroscience,year1,2020-03-06,Karolinska Institute,106,1362,7,0.0
10.1101/2020.03.06.979930,biorxiv,1,neuroscience,year1,2020-03-08,University of Queensland,124,1260,4,2.0
10.1101/2020.03.06.980276,biorxiv,1,cell biology,NP,2020-03-07,National Chemical Laboratory,112,1728,3,
10.1101/2020.03.06.981373,biorxiv,1,neuroscience,NP,2020-03-08,University of Virginia,84,1120,10,
10.1101/2020.03.06.981381,biorxiv,1,biophysics,year1,2020-03-07,National Institutes of Health,99,855,4,31.0
10.1101/2020.03.08.982363,biorxiv,1,biochemistry,year2,2020-03-09,"Nanyang Technological University, Singapore",153,993,11,1.0
10.1101/2020.03.09.976118,biorxiv,1,neuroscience,year1,2020-03-09,University of Southampton,127,1551,18,5.0
10.1101/2020.03.09.983353,biorxiv,1,neuroscience,year1,2020-03-09,ICM,106,1622,7,4.0
10.1101/2020.03.09.983817,biorxiv,1,genomics,year1,2020-03-11,"John P. Hussman Institute for Human Genomics, University of Miami, Miller School of Medicine, Miami, FL, USA",149,489,24,
10.1101/2020.03.09.984534,biorxiv,1,biochemistry,year1,2020-03-11,University of Kansas,61,1758,5,7.0
10.1101/2020.03.10.985176,biorxiv,1,bioinformatics,year1,2020-03-11,Ligue Nationale Contre le Cancer,179,988,12,10.0
10.1101/2020.03.10.985846,biorxiv,1,genetics,year2,2020-03-11,"John P. Hussman Institute for Human Genomics, University of Miami Miller School of Medicine, Miami, Florida, USA",124,2271,20,1.0
10.1101/2020.03.10.986083,biorxiv,1,genetics,NP,2020-03-11,"John P. Hussman Institute for Human Genomics, University of Miami Miller School of Medicine, Miami, FL, USA",129,1840,24,
10.1101/2020.03.11.986125,biorxiv,1,neuroscience,year1,2020-03-11,Northeastern University,110,1719,5,5.0
10.1101/2020.03.12.988709,biorxiv,1,neuroscience,NP,2020-03-13,KUL/VIB Belgium and UK Dementia Research Institute at UCL UK,149,950,20,
10.1101/2020.03.12.989848,biorxiv,1,neuroscience,NP,2020-03-14,Univeristy of Queensland,111,1568,8,
10.1101/2020.03.14.20035683,medrxiv,1,genetic and genomic medicine,year1,2020-03-17,"Department of Regenerative Medicine, National Institute for Geriatrics and Gerontology",124,870,4,2.0
10.1101/2020.03.15.992719,biorxiv,1,neuroscience,year1,2020-03-15,Boston University,167,1859,15,16.0
10.1101/2020.03.17.995191,biorxiv,1,neuroscience,year2,2020-03-17,University of Hawai'i at Manoa,123,1617,5,1.0
10.1101/2020.03.18.995332,biorxiv,1,neuroscience,year1,2020-03-19,"Department of Biomedical Sciences of Cells & Systems, Section Molecular Neurobiology, University of Groningen, University Medical Center Groningen",102,702,15,12.0
10.1101/2020.03.18.995464,biorxiv,1,neuroscience,year1,2020-03-18,"Institute of Psychiatry, Psychology and Neuroscience, King's College London",128,2567,14,4.0
10.1101/2020.03.18.996827,biorxiv,1,neuroscience,NP,2020-03-18,"Centre for Developmental Neurobiology and MRC Centre for Neurodevelopmental Disorders, IoPPN, Guy's Campus, King's College London, London SE1 1UL, UK",72,996,4,
10.1101/2020.03.18.996843,biorxiv,1,biophysics,NP,2020-03-18,Huazhong University of Science and Technology,93,1538,3,
10.1101/2020.03.19.20038703,medrxiv,1,neurology,year1,2020-03-24,Institut Pasteur de Lille,102,1462,4,12.0
10.1101/2020.03.19.997262,biorxiv,1,cell biology,year1,2020-03-20,"Instituto de Investigaciones Biomedicas Alberto Sols, CSIC-UAM, Madrid, Spain",78,1641,7,4.0
10.1101/2020.03.19.998930,biorxiv,1,developmental biology,NP,2020-03-20,"Wellcome Trust/Cancer Research UK Gurdon Institute, University of Cambridge, UK",129,1158,7,
10.1101/2020.03.21.001321,biorxiv,1,neuroscience,year2,2020-03-23,"University of Eastern Piedmont, Novara, Italy",133,1008,20,3.0
10.1101/2020.03.23.003327,biorxiv,1,neuroscience,year1,2020-03-23,University of Strathclyde,121,1949,4,1.0
10.1101/2020.03.25.007351,biorxiv,1,bioinformatics,year1,2020-03-25,Saarland University,57,1404,8,9.0
10.1101/2020.03.25.20043158,medrxiv,1,neurology,year1,2020-03-27,Amsterdam UMC,91,2259,28,8.0
10.1101/2020.03.25.998831,biorxiv,1,neuroscience,year1,2020-03-25,"German Center for Neurodegenerative Diseases (DZNE), Bonn, Germany",91,2144,10,7.0
